iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,population,gdp_per_capita
AFG,Asia,Afghanistan,4/20/2021,58037,139,2549,3,1490.868,3.571,2.47,65.479,0.077,38928341,1803.987
ALB,Europe,Albania,4/20/2021,129842,148,2353,6,45118.493,51.428,54.109,817.638,2.085,2877800,11803.431
DZA,Africa,Algeria,4/20/2021,119992,187,3165,5,2736.355,4.264,3.887,72.176,0.114,43851043,13913.839
AND,Europe,Andorra,4/20/2021,12874,69,123,0,166621.368,893.03,480.72,1591.924,0,77265,
AGO,Africa,Angola,4/20/2021,24661,143,565,2,750.344,4.351,4.19,17.191,0.061,32866268,5819.495
ATG,North America,Antigua and Barbuda,4/20/2021,1217,0,31,0,12427.498,0,23.341,316.559,0,97928,21490.943
ARG,South America,Argentina,4/20/2021,2743620,29145,59792,316,60705.229,644.861,520.339,1322.955,6.992,45195777,18933.907
ARM,Asia,Armenia,4/20/2021,209485,667,3919,24,70694.721,225.092,261.876,1322.542,8.099,2963234,8787.58
AUS,Oceania,Australia,4/20/2021,29576,20,910,0,1159.849,0.784,0.706,35.686,0,25499881,44648.71
AUT,Europe,Austria,4/20/2021,597566,2026,9959,37,66349.041,224.951,258.594,1105.769,4.108,9006400,45436.686
AZE,Asia,Azerbaijan,4/20/2021,303858,2197,4203,34,29968.71,216.684,200.876,414.531,3.353,10139175,15847.419
BHS,North America,Bahamas,4/20/2021,9791,0,194,0,24897.774,0,103.897,493.327,0,393248,27717.847
BHR,Asia,Bahrain,4/20/2021,166157,1039,605,5,97648.484,610.608,618.584,355.551,2.938,1701583,43290.705
BGD,Asia,Bangladesh,4/20/2021,727780,4559,10588,91,4419.107,27.682,25.845,64.291,0.553,164689383,3523.984
BRB,North America,Barbados,4/20/2021,3793,9,44,0,13198.966,31.318,26.347,153.112,0,287371,16978.068
BLR,Europe,Belarus,4/20/2021,345998,888,2443,10,36616.176,93.975,126.434,258.537,1.058,9449321,17167.967
BEL,Europe,Belgium,4/20/2021,955056,3430,23834,52,82406.182,295.955,301.415,2056.496,4.487,11589616,42658.576
BLZ,North America,Belize,4/20/2021,12568,10,318,0,31607.989,25.15,19.76,799.757,0,397621,7824.362
