iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,population,gdp_per_capita
AFG,Asia,Afghanistan,1/1/2021,51526,0,2191,0,1323.612,0,2.628,56.283,0,38928341,1803.987
AFG,Asia,Afghanistan,1/2/2021,51526,0,2191,0,1323.612,0,2.349,56.283,0,38928341,1803.987
AFG,Asia,Afghanistan,1/3/2021,51526,0,2191,0,1323.612,0,1.787,56.283,0,38928341,1803.987
AFG,Asia,Afghanistan,1/4/2021,53011,1485,2237,46,1361.759,38.147,6.352,57.465,1.182,38928341,1803.987
AFG,Asia,Afghanistan,1/5/2021,53105,94,2244,7,1364.173,2.415,6.44,57.644,0.18,38928341,1803.987
AFG,Asia,Afghanistan,1/6/2021,53105,0,2244,0,1364.173,0,6.239,57.644,0,38928341,1803.987
AFG,Asia,Afghanistan,1/7/2021,53207,102,2253,9,1366.793,2.62,6.169,57.876,0.231,38928341,1803.987
AFG,Asia,Afghanistan,1/8/2021,53332,125,2257,4,1370.004,3.211,6.628,57.978,0.103,38928341,1803.987
AFG,Asia,Afghanistan,1/9/2021,53400,68,2264,7,1371.751,1.747,6.877,58.158,0.18,38928341,1803.987
AFG,Asia,Afghanistan,1/10/2021,53489,89,2277,13,1374.037,2.286,7.204,58.492,0.334,38928341,1803.987
AFG,Asia,Afghanistan,1/11/2021,53538,49,2288,11,1375.296,1.259,1.934,58.775,0.283,38928341,1803.987
AFG,Asia,Afghanistan,1/12/2021,53584,46,2301,13,1376.478,1.182,1.758,59.109,0.334,38928341,1803.987
AFG,Asia,Afghanistan,1/13/2021,53584,0,2301,0,1376.478,0,1.758,59.109,0,38928341,1803.987
AFG,Asia,Afghanistan,1/14/2021,53775,191,2314,13,1381.384,4.906,2.084,59.443,0.334,38928341,1803.987
AFG,Asia,Afghanistan,1/15/2021,53831,56,2324,10,1382.823,1.439,1.831,59.699,0.257,38928341,1803.987
AFG,Asia,Afghanistan,1/16/2021,53938,107,2336,12,1385.572,2.749,1.974,60.008,0.308,38928341,1803.987
AFG,Asia,Afghanistan,1/17/2021,53984,46,2339,3,1386.753,1.182,1.817,60.085,0.077,38928341,1803.987
AFG,Asia,Afghanistan,1/18/2021,54062,78,2343,4,1388.757,2.004,1.923,60.188,0.103,38928341,1803.987
AFG,Asia,Afghanistan,1/19/2021,54141,79,2346,3,1390.786,2.029,2.044,60.265,0.077,38928341,1803.987
AFG,Asia,Afghanistan,1/20/2021,54278,137,2354,8,1394.306,3.519,2.547,60.47,0.206,38928341,1803.987
AFG,Asia,Afghanistan,1/21/2021,54403,125,2363,9,1397.517,3.211,2.305,60.701,0.231,38928341,1803.987
AFG,Asia,Afghanistan,1/22/2021,54483,80,2370,7,1399.572,2.055,2.393,60.881,0.18,38928341,1803.987
AFG,Asia,Afghanistan,1/23/2021,54559,76,2373,3,1401.524,1.952,2.279,60.958,0.077,38928341,1803.987
AFG,Asia,Afghanistan,1/24/2021,54595,36,2378,5,1402.449,0.925,2.242,61.087,0.128,38928341,1803.987
